"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\skeleton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\switch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\textarea.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\components\ui\tooltip.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 8, 27
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\contant.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\mongo\events.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 6, 20, 88
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\mongo\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\mongo\organization.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 7, 36, 140
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\mongo\users.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 5, 27, 145
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\schemas\eventSchema.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\schemas\organizationSchema.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 8, 28
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\schemas\subscriptionSchema.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\schemas\userSchema.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 2, 9, 36
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\stripe\stripe.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 11, 3, 28
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\util\date.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\util\phoneNumber.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\util\time.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 2, 0, 10
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\lib\utils.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\middleware.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\aaron\Documents\GitHub\manus-unitas\src\utils\animations.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 9, 62
"c:\Users\aaron\Documents\GitHub\manus-unitas\tailwind.config.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 1, 0, 92
"Total", "-", 10, 3824, 4848, 23, 5, 1742, 56, 214, 993, 11715
