Date : 2024-07-04 10:01:38
Directory : f:\manus-unitas
Total : 148 files,  10056 codes, 472 comments, 1592 blanks, all 12120 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| f:\manus-unitas\src\app\subscribe\success\success.js                                              | JavaScript         |         14 |          0 |          8 |         22 |
| f:\manus-unitas\src\app\template.js                                                               | JavaScript         |         39 |          0 |          9 |         48 |
| f:\manus-unitas\src\app\terms-and-conditions\page.js                                              | JavaScript         |        141 |          0 |          2 |        143 |
| f:\manus-unitas\src\app\verifySignIn.js                                                           | JavaScript         |         17 |          0 |          4 |         21 |
| f:\manus-unitas\src\components\infobar\index.jsx                                                  | JavaScript JSX     |        107 |          3 |          9 |        119 |
| f:\manus-unitas\src\components\sidebar\index.jsx                                                  | JavaScript JSX     |        106 |          0 |          5 |        111 |
| f:\manus-unitas\src\components\sign-out-button\index.js                                           | JavaScript         |         11 |          0 |          2 |         13 |
| f:\manus-unitas\src\components\signOutWrapper.jsx                                                 | JavaScript JSX     |          7 |          0 |          4 |         11 |
| f:\manus-unitas\src\components\theme-provider.jsx                                                 | JavaScript JSX     |          5 |          0 |          3 |          8 |
| f:\manus-unitas\src\components\theme-toggle\index.jsx                                             | JavaScript JSX     |         36 |          0 |          5 |         41 |
| f:\manus-unitas\src\components\ui\accordion.jsx                                                   | JavaScript JSX     |         35 |          0 |          9 |         44 |
| f:\manus-unitas\src\components\ui\avatar.jsx                                                      | JavaScript JSX     |         29 |          0 |          7 |         36 |
| f:\manus-unitas\src\components\ui\badge.jsx                                                       | JavaScript JSX     |         30 |          0 |          5 |         35 |
| f:\manus-unitas\src\components\ui\button.jsx                                                      | JavaScript JSX     |         43 |          0 |          5 |         48 |
| f:\manus-unitas\src\components\ui\calendar.jsx                                                    | JavaScript JSX     |         59 |          0 |          4 |         63 |
| f:\manus-unitas\src\components\ui\card.jsx                                                        | JavaScript JSX     |         42 |          0 |          9 |         51 |
| f:\manus-unitas\src\components\ui\checkbox.jsx                                                    | JavaScript JSX     |         20 |          0 |          5 |         25 |
| f:\manus-unitas\src\components\ui\command.jsx                                                     | JavaScript JSX     |        101 |          0 |         17 |        118 |
| f:\manus-unitas\src\components\ui\dialog.jsx                                                      | JavaScript JSX     |         83 |          0 |         14 |         97 |
| f:\manus-unitas\src\components\ui\drawer.jsx                                                      | JavaScript JSX     |         79 |          0 |         14 |         93 |
| f:\manus-unitas\src\components\ui\dropdown-menu.jsx                                               | JavaScript JSX     |        139 |          0 |         19 |        158 |
| f:\manus-unitas\src\components\ui\form.jsx                                                        | JavaScript JSX     |        111 |          0 |         23 |        134 |
| f:\manus-unitas\src\components\ui\infinite-moving-cards.jsx                                       | JavaScript JSX     |        106 |          0 |          6 |        112 |
| f:\manus-unitas\src\components\ui\input-otp.jsx                                                   | JavaScript JSX     |         47 |          0 |          9 |         56 |
| f:\manus-unitas\src\components\ui\input.jsx                                                       | JavaScript JSX     |         16 |          0 |          4 |         20 |
| f:\manus-unitas\src\components\ui\label.jsx                                                       | JavaScript JSX     |         13 |          0 |          6 |         19 |
| f:\manus-unitas\src\components\ui\multi-select.jsx                                                | JavaScript JSX     |        148 |         12 |         11 |        171 |
| f:\manus-unitas\src\components\ui\navigation-menu.jsx                                             | JavaScript JSX     |         93 |          0 |         12 |        105 |
| f:\manus-unitas\src\components\ui\popover.jsx                                                     | JavaScript JSX     |         21 |          0 |          7 |         28 |
| f:\manus-unitas\src\components\ui\scroll-area-horizontal.jsx                                      | JavaScript JSX     |         10 |          0 |          3 |         13 |
| f:\manus-unitas\src\components\ui\scroll-area.jsx                                                 | JavaScript JSX     |         35 |          0 |          6 |         41 |
| f:\manus-unitas\src\components\ui\select.jsx                                                      | JavaScript JSX     |        108 |          0 |         15 |        123 |
| f:\manus-unitas\src\components\ui\separator.jsx                                                   | JavaScript JSX     |         21 |          0 |          5 |         26 |
| f:\manus-unitas\src\components\ui\skeleton.jsx                                                    | JavaScript JSX     |          8 |          0 |          3 |         11 |
| f:\manus-unitas\src\components\ui\switch.jsx                                                      | JavaScript JSX     |         20 |          0 |          5 |         25 |
| f:\manus-unitas\src\components\ui\table.jsx                                                       | JavaScript JSX     |         73 |          0 |         11 |         84 |
| f:\manus-unitas\src\components\ui\textarea.jsx                                                    | JavaScript JSX     |         15 |          0 |          4 |         19 |
| f:\manus-unitas\src\components\ui\toast.jsx                                                       | JavaScript JSX     |         73 |          0 |         11 |         84 |
| f:\manus-unitas\src\components\ui\toaster.jsx                                                     | JavaScript JSX     |         32 |          0 |          4 |         36 |
| f:\manus-unitas\src\components\ui\tooltip.jsx                                                     | JavaScript JSX     |         19 |          0 |          8 |         27 |
| f:\manus-unitas\src\components\ui\use-toast.js                                                    | JavaScript         |        128 |          3 |         25 |        156 |
| f:\manus-unitas\src\lib\contant.js                                                                | JavaScript         |          7 |          0 |          2 |          9 |
| f:\manus-unitas\src\lib\mongo\events.js                                                           | JavaScript         |         62 |          6 |         20 |         88 |
| f:\manus-unitas\src\lib\mongo\index.js                                                            | JavaScript         |          7 |          0 |          4 |         11 |
| f:\manus-unitas\src\lib\mongo\organization.js                                                     | JavaScript         |         97 |          7 |         36 |        140 |
| f:\manus-unitas\src\lib\mongo\users.js                                                            | JavaScript         |        113 |          5 |         27 |        145 |
| f:\manus-unitas\src\lib\schemas\eventSchema.js                                                    | JavaScript         |         67 |          0 |          7 |         74 |
| f:\manus-unitas\src\lib\schemas\organizationSchema.js                                             | JavaScript         |         20 |          0 |          8 |         28 |
| f:\manus-unitas\src\lib\schemas\roleSchema.js                                                     | JavaScript         |         22 |          0 |          6 |         28 |
| f:\manus-unitas\src\lib\schemas\subscriptionSchema.js                                             | JavaScript         |         25 |          0 |          6 |         31 |
| f:\manus-unitas\src\lib\schemas\userSchema.js                                                     | JavaScript         |         44 |          2 |          9 |         55 |
| f:\manus-unitas\src\lib\store\analyticsStore.js                                                   | JavaScript         |         25 |          1 |          5 |         31 |
| f:\manus-unitas\src\lib\stripe\stripe.js                                                          | JavaScript         |         14 |         11 |          3 |         28 |
| f:\manus-unitas\src\lib\util\date.js                                                              | JavaScript         |          8 |          0 |          0 |          8 |
| f:\manus-unitas\src\lib\util\phoneNumber.js                                                       | JavaScript         |         16 |          0 |          2 |         18 |
| f:\manus-unitas\src\lib\util\time.js                                                              | JavaScript         |          8 |          2 |          0 |         10 |
| f:\manus-unitas\src\lib\utils.js                                                                  | JavaScript         |          5 |          0 |          2 |          7 |
| f:\manus-unitas\src\middleware.js                                                                 | JavaScript         |         69 |          1 |          4 |         74 |
| f:\manus-unitas\src\utils\animations.js                                                           | JavaScript         |         53 |          0 |          9 |         62 |
| f:\manus-unitas\tailwind.config.js                                                                | JavaScript         |         96 |          1 |          0 |         97 |
| f:\manus-unitas\vercel.json                                                                       | JSON               |          8 |          0 |          1 |          9 |
| Total                                                                                             |                    |     10,056 |        472 |      1,592 |     12,120 |
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
